"URL","Game","Studio"
"https://demo.firstlookgames.com/?xpid=4092&gid=78839","Dice Of Magic","Amusnet"
"https://demo.firstlookgames.com/?xpid=4092&gid=78838","Dice Of Ra","Amusnet"
"https://demo.firstlookgames.com/?xpid=4092&gid=78837","Caramel Dice","Amusnet"
"https://demo.firstlookgames.com/?xpid=4092&gid=78836","Burning Dice","Amusnet"
"https://demo.firstlookgames.com/?xpid=4092&gid=78836","Burning Dice","Amusnet"
"https://demo.firstlookgames.com/?xpid=4092&gid=78835","5 Hot Dice","Amusnet"
"https://demo.firstlookgames.com/?xpid=4092&gid=78834","40 Super Dice","Amusnet"
"https://demo.firstlookgames.com/?xpid=4092&gid=78833","30 Spicy Dice","Amusnet"
"https://demo.firstlookgames.com/?xpid=4092&gid=78832","20 Super Dice","Amusnet"
"https://demo.firstlookgames.com/?xpid=4092&gid=78831","100 Super Dice","Amusnet"
"https://demo.firstlookgames.com/?xpid=4092&gid=78830","100 Dice","Amusnet"
"https://demo.firstlookgames.com/?xpid=4092&gid=78753","40 Burning Dice","Amusnet"
"https://demo.firstlookgames.com/?xpid=4092&gid=78752","20 Burning Dice","Amusnet"
"https://demo.firstlookgames.com/?xpid=4092&gid=73658","Sultan's Diamond","PoggiPlay"
"https://demo.firstlookgames.com/?xpid=4092&gid=73450","Crystal Hall","Play'n GO"
"https://demo.firstlookgames.com/?xpid=4092&gid=73376","Trinity Impact","Play'n GO"
"https://demo.firstlookgames.com/?xpid=4092&gid=73340","Medusa's Madness","Play'n GO"
"https://demo.firstlookgames.com/?xpid=4092&gid=73142","Gates of Hellfire","Gaming Corps"
"https://demo.firstlookgames.com/?xpid=4092&gid=73015","Lucky Ducky","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=72900","Hypercharged Inca Jungle","Light & Wonder"
"https://demo.firstlookgames.com/?xpid=4092&gid=72879","Tile Master","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=72774","Cash Falls: Add Em Up Christmas","Light & Wonder"
"https://demo.firstlookgames.com/?xpid=4092&gid=72733","It's Shark Time Xmas!","ELA Games"
"https://demo.firstlookgames.com/?xpid=4092&gid=72628","Xmas Unwrapped","Gaming Corps"
"https://demo.firstlookgames.com/?xpid=4092&gid=72586","Lolly Land","Swintt"
"https://demo.firstlookgames.com/?xpid=4092&gid=72537","Treasures of Kongar","Play'n GO"
"https://demo.firstlookgames.com/?xpid=4092&gid=72513","Midnight Gold","Play'n GO"
"https://demo.firstlookgames.com/?xpid=4092&gid=72485","Jolly Roger Wild Kraken","Play'n GO"
"https://demo.firstlookgames.com/?xpid=4092&gid=72424","Jewel Dragon Valley of the Tiger","Light & Wonder"
"https://demo.firstlookgames.com/?xpid=4092&gid=72387","Double Fruit Frenzy DoubleMax™","Reflex Gaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=72338","Hot Dog Heist","Play'n GO"
"https://demo.firstlookgames.com/?xpid=4092&gid=72169","Lion Saga Odyssey","Play'n GO"
"https://demo.firstlookgames.com/?xpid=4092&gid=72104","Volcanic Coins","Playzia"
"https://demo.firstlookgames.com/?xpid=4092&gid=72067","Immortal 5","Relax Gaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=72014","Wet and Wild Beavers","Gaming Corps"
"https://demo.firstlookgames.com/?xpid=4092&gid=71977","Trident of Legends","Stakelogic"
"https://demo.firstlookgames.com/?xpid=4092&gid=71831","Sobek\'s Godly Spins","Play'n GO"
"https://demo.firstlookgames.com/?xpid=4092&gid=71736","Cosmos Cash","Playzia"
"https://demo.firstlookgames.com/?xpid=4092&gid=71632","Forgotten","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=71608","Golden Goose Megaways™","Big Time Gaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=71562","Rich Wilde and the Pearls of Vishnu","Play'n GO"
"https://demo.firstlookgames.com/?xpid=4092&gid=71520","Rotating Element","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=71435","Money Sleigh","Relax Gaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=71320","Piggy Blitz Disco Gold","Play'n GO"
"https://demo.firstlookgames.com/?xpid=4092&gid=71299","Haunted Reels","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=71274","Bruce Lee Kung Fu Wilds","Light & Wonder"
"https://demo.firstlookgames.com/?xpid=4092&gid=71247","The Great Fishing Adventure","Playzia"
"https://demo.firstlookgames.com/?xpid=4092&gid=71222","Tale of the Red Dragon","Playzia"
"https://demo.firstlookgames.com/?xpid=4092&gid=71195","Sweet Candy Fortune","Playzia"
"https://demo.firstlookgames.com/?xpid=4092&gid=71159","Safari Kingdom","Playzia"
"https://demo.firstlookgames.com/?xpid=4092&gid=71135","Raul the Vampire","Playzia"
"https://demo.firstlookgames.com/?xpid=4092&gid=71110","La Copa Grande","Playzia"
"https://demo.firstlookgames.com/?xpid=4092&gid=71083","Crazy Chilli Party","Playzia"
"https://demo.firstlookgames.com/?xpid=4092&gid=71006","Caishen’s Coins","Playzia"
"https://demo.firstlookgames.com/?xpid=4092&gid=70982","Book of Alexandria","Playzia"
"https://demo.firstlookgames.com/?xpid=4092&gid=70955","Billionaire Wolf","Playzia"
"https://demo.firstlookgames.com/?xpid=4092&gid=70930","Billionaire Bison","Playzia"
"https://demo.firstlookgames.com/?xpid=4092&gid=70902","Aztec Prosperity","Playzia"
"https://demo.firstlookgames.com/?xpid=4092&gid=70801","Yellow Slotmarine","Swintt"
"https://demo.firstlookgames.com/?xpid=4092&gid=70749","Carnival Bonanza","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=70728","Witches Go Wild","Jelly"
"https://demo.firstlookgames.com/?xpid=4092&gid=70698","Lobster Hotpot 2 Even Hotter","Gaming Corps"
"https://demo.firstlookgames.com/?xpid=4092&gid=70502","Snoop Dogg Dollars","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=70466","Bill & Coin Dream Drop","Relax Gaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=70407","I Hate Fairytales","Swintt"
"https://demo.firstlookgames.com/?xpid=4092&gid=70334","Fortuna TRUEWAYS","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=70123","Hidden Treasures of Rome","Swintt"
"https://demo.firstlookgames.com/?xpid=4092&gid=69987","Voodoo People","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=69966","Lady Luck Gold Quest","Lady Luck Games"
"https://demo.firstlookgames.com/?xpid=4092&gid=69888","Spirit Hunters","Swintt"
"https://demo.firstlookgames.com/?xpid=4092&gid=69835","Top Eagle","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=69772","Feather Fury","Relax Gaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=69707","Santastic 4","ESA Gaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=69518","The Tumbles","Relax Gaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=69475","Expanding Joker","Gaming Corps"
"https://demo.firstlookgames.com/?xpid=4092&gid=69285","Evil Devil","Peter & Sons"
"https://demo.firstlookgames.com/?xpid=4092&gid=69160","Sword King","Swintt"
"https://demo.firstlookgames.com/?xpid=4092&gid=69120","Kraken’s Hunger","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=69055","Big Max Door","Swintt"
"https://demo.firstlookgames.com/?xpid=4092&gid=68076","Lucky Sweets","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=68072","Scroll of Adventure","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=68070","Scratch Dice","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=68066","Multihand Blackjack Pro","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=68062","Lucky Blue","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=68060","Heads and Tails","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=68058","Hawaii Cocktails","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=68056","European Roulette","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=68054","Desert Treasure","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=68052","American Roulette","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=68050","West Town","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=68048","Princess Royal","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=68044","Multihand Blackjack","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=68042","Lucky Lady's Clover","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=68040","French Roulette","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=68038","Fantasy Park","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=68036","Domnitors","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=68034","Crazy Starter","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=68032","Cherry Fiesta","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=68028","Book of Pyramids","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=68026","Platinum Lightning Deluxe","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=68024","Aztec Magic Deluxe","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=68022","Fire Lightning","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=68018","Bob's Coffee Shop","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=68016","Domnitors Deluxe","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=68014","Plinko","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=68012","Hello Easter","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=68010","Jogo Do Bicho Simple","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=68006","Mechanical Orange","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=68004","Journey Flirt","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=68002","Spin And Spell","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=68000","Deep Sea","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=67998","Avalon: The Lost Kingdom","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=67996","Four Lucky Clover","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=67992","Book of Cats","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=67990","All Lucky Clovers","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=67988","Johnny Cash","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=67984","Fruit Million","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=67982","Lady Wolf Moon","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=67980","Four Lucky Diamonds","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=67978","Mechanical Clover","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=67974","Dig Dig Digger","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=67970","Dragon's Gold 100","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=67968","Miss Cherry Fruits","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=67966","Candy Monsta","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=67962","Road 2 Riches","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=67960","Bonanza Billion","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=67958","Gift Rush","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=67956","Space XY","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=67954","Aztec Magic Megaways","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=67952","Aztec Magic Bonanza","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=67950","Clover Bonanza","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=67948","Rocket Dice XY","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=67944","Minesweeper XY","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=67942","Heads and Tails XY","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=67940","Joker Queen","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=67938","Lucky Farm Bonanza","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=67936","Wild Cash","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=67934","Penny Pelican","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=67932","Big Atlantis Frenzy","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=67930","Gold Rush with Johnny Cash","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=67926","Miss Cherry Fruits Jackpot Party","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=67924","Maneki 88 Gold","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=67918","Beer Bonanza","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=67914","Elvis Frog TRUEWAYS","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=67912","Book of Cats Megaways","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=67910","Soccermania","BGaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=67908","Burning Chilli X","BGaming"
